X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Imports
-89.941198,29.933813,47,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,Meraux,Louisiana,3,128,60,,48.7,,32,,95,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.933813,-89.941198,1
-92.067312,46.690572,48,238,SUPERIOR REFINING COMPANY LLC,HUSKY ENERGY INC,Superior,Wisconsin,2,50,23.5,11.3,,,9.3,1.7,40.5,,16,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,46.690572,-92.067312,1
-93.792592,32.467561,49,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Shreveport,Louisiana,3,60,28,,,,12,,52.3,,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.467561,-93.792592,0
-101.365597,35.6931870000001,50,255,WRB REFINING LP,WRB REFINING LP,Borger,Texas,3,157,80,56,,,31.3,60,187.4,28.4,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.693187,-101.365597,1
-95.747538,29.077881,51,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Sweeny,Texas,3,278.9,132.1,111,,,42.1,31.7,378.6,78.7,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.077881,-95.747538,1
-111.904823,40.886581,52,257,HOLLYFRONTIER WOODS CROSS REFINING L,HOLLYFRONTIER CORP,Woods Cross,Utah,4,41.4,,17.5,15,,8.4,8.3,26.2,,1.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.886581,-111.904823,1
-91.210811,30.477376,53,262,PLACID REFINING CO,PLACID OIL CO,Port Allen,Louisiana,3,82.5,27,25.5,,,11.5,7.5,57,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.477376,-91.210811,0
-80.629399,40.610826,54,266,ERGON WEST VIRGINIA INC,ERGON INC,Newell,West Virginia,1,23,8.6,,,,4.7,,24.1,,0.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.610826,-80.629399,0
-119.047922,35.3873300000001,55,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,Bakersfield,California,5,25,14.3,,,5,,,5.4,,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.38733,-119.047922,0
-90.067283,38.845944,56,275,WRB REFINING LP,WRB REFINING LP,Wood River,Illinois,2,367.5,196.5,101,57.2,,79.7,21.8,281.4,83.7,28,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.845944,-90.067283,1
