latitude,longitude,xco2,name,capacity_mw,generation_gwh,est_Gt_co2_emms,est_Gt_co2_atm,Gt_co2
20.0063,79.29,406.180954,CHANDRAPUR_Coal,2920.0,13780.23,0.0128156139,0.005767026255,3172.2732507399996
24.201,82.7891,400.677597,ANPARA,2630.0,11151.06947219136,0.010370494609137967,0.004666722574112085,3129.2920325699997
24.201,82.7891,404.240104,ANPARA,2630.0,13227.35235,0.012301437685499999,0.005535646958475,3157.1152122399994
24.201,82.7891,406.522942,ANPARA,2630.0,15334.8763,0.014261434958999999,0.00641764573155,3174.9441770199996
18.7572,79.456,400.237891,R_GUNDEM STPS,2600.0,18990.0,0.017660699999999998,0.007947315,3125.8579287099997
18.7572,79.456,403.7812,R_GUNDEM STPS,2600.0,18357.0,0.01707201,0.007682404499999999,3153.531172
18.7572,79.456,406.085712,R_GUNDEM STPS,2600.0,17704.0,0.016464720000000002,0.007409124000000001,3171.5294107199998
22.3881,82.6858,400.39741,KORBA STPS,2600.0,19176.0,0.01783368,0.008025156,3127.1037721
22.3881,82.6858,403.944145,KORBA STPS,2600.0,19078.0,0.01774254,0.007984143,3154.80377245
22.3881,82.6858,406.265928,KORBA STPS,2600.0,19229.0,0.01788297,0.0080473365,3172.9368976799997
22.0987,83.4513,400.425067,TAMNAR TPP,2400.0,4101.53,0.0038144229,0.001716490305,3127.31977327
22.0987,83.4513,403.942442,TAMNAR TPP,2400.0,4529.6,0.004212528,0.0018956376000000001,3154.79047202
22.0987,83.4513,406.293319,TAMNAR TPP,2400.0,6337.63,0.0058939959,0.002652298155,3173.1508213899997
21.2414,79.096,400.344017,KORADI,2400.0,2725.69064,0.0025348922952,0.00114070153284,3126.68677277
21.2414,79.096,403.840387,KORADI,2400.0,4875.81,0.004534503300000001,0.0020405264850000006,3153.99342247
21.2414,79.096,406.141195,KORADI,2400.0,8670.845796000001,0.008063886590280003,0.0036287489656260013,3171.96273295
25.2349,87.2635,400.412088,KAHALGAON,2340.0,14192.0,0.01319856,0.005939352,3127.2184072799996
25.2349,87.2635,403.921902,KAHALGAON,2340.0,14834.8,0.013796364,0.0062083638,3154.6300546199996
25.2349,87.2635,406.286112,KAHALGAON,2340.0,15177.0,0.01411461,0.0063515745,3173.09453472
21.1797,79.3978,400.344017,MOUDA STPS,2320.0,1718.0,0.00159774,0.0007189830000000001,3126.68677277
21.1797,79.3978,403.840387,MOUDA STPS,2320.0,3838.0,0.00356934,0.001606203,3153.99342247
21.1797,79.3978,406.141195,MOUDA STPS,2320.0,7276.0,0.00676668,0.003045006,3171.96273295
24.772,87.894,400.478532,FARAKKA STPS,2100.0,11440.0,0.010639200000000001,0.004787640000000001,3127.7373349199997
24.772,87.894,403.964727,FARAKKA STPS,2100.0,12732.0,0.01184076,0.005328342000000001,3154.96451787
24.772,87.894,406.346848,FARAKKA STPS,2100.0,12381.0,0.01151433,0.0051814485,3173.56888288
24.1033,82.7068,400.677597,SINGRAULI STPS,2000.0,15054.0,0.01400022,0.006300099000000001,3129.2920325699997
24.1033,82.7068,404.240104,SINGRAULI STPS,2000.0,13998.0,0.013018140000000001,0.005858163,3157.1152122399994
24.1033,82.7068,406.522942,SINGRAULI STPS,2000.0,13616.0,0.01266288,0.005698296,3174.9441770199996
17.591,83.0917,400.194596,SIMHADRI,2000.0,13656.0,0.012700079999999999,0.005715036,3125.51979476
17.591,83.0917,403.719737,SIMHADRI,2000.0,13389.0,0.012451770000000001,0.0056032965,3153.05114597
17.591,83.0917,406.126669,SIMHADRI,2000.0,11062.0,0.01028766,0.004629447,3171.8492848899996
29.924,75.2372,400.340262,TALWANDI SABO,1980.0,2850.99,0.0026514206999999996,0.0011931393149999998,3126.6574462199997
29.924,75.2372,403.864378,TALWANDI SABO,1980.0,6618.7154,0.006155405322,0.0027699323949,3154.1807921799996
29.924,75.2372,406.259279,TALWANDI SABO,1980.0,7915.7,0.007361601000000001,0.0033127204500000003,3172.88496899
25.196,81.6594,400.392774,PRYAGRAJ (BARA) TPP,1980.0,219.5193,0.000204152949,9.186882705e-05,3127.0675649399996
25.196,81.6594,404.03335,PRYAGRAJ (BARA) TPP,1980.0,4004.0,0.0037237200000000002,0.001675674,3155.5004634999996
25.196,81.6594,406.28657,PRYAGRAJ (BARA) TPP,1980.0,5155.986,0.00479506698,0.002157780141,3173.0981116999997
24.7971,78.6463,400.196038,LALITPUR TPP,1980.0,495.63,0.0004609359,0.000207421155,3125.5310567799997
24.7971,78.6463,403.861635,LALITPUR TPP,1980.0,3741.87,0.0034799391,0.0015659725950000001,3154.1593693499995
24.7971,78.6463,406.103308,LALITPUR TPP,1980.0,8072.02,0.0075069786,0.0033781403700000002,3171.66683548
28.603,77.6078,400.753525,DADRI (NCTPP),1820.0,9333.0,0.00867969,0.0039058605000000003,3129.88503025
28.603,77.6078,404.483031,DADRI (NCTPP),1820.0,8197.0,0.00762321,0.0034304445,3159.0124721099996
28.603,77.6078,406.719574,DADRI (NCTPP),1820.0,9271.0,0.00862203,0.0038799134999999998,3176.47987294
21.9603,82.4091,400.620709,AKALTARA TPP,1800.0,5916.37,0.0055022241,0.002476000845,3128.8477372899997
21.9603,82.4091,404.15757,AKALTARA TPP,1800.0,6243.0,0.00580599,0.0026126954999999997,3156.4706217
21.9603,82.4091,406.503345,AKALTARA TPP,1800.0,5385.579736432796,0.005008589154882501,0.0022538651196971253,3174.79112445
